age,name,address,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
55,isabella thompson,"7822 W3B3R STATI0N \NW3ST MARYJAN3B3RG, SD 78054",blue-collar,married,primary,no,145,no,no,telephone,2,feb,59,3,5,2,other,no
26,delbert okuneva,"939 ismael crossing apt. 695\nturcottefort, va 91052-6718",blue-collar,married,primary,no,0,yes,no,unknown,21,may,425,1,-1,0,unknown,no
32,lillie howe,"08852 Beth Passage\nPort Gaetanoshire, MD 27873-6127",entrepreneur,single,primary,yes,-849,yes,yes,cellular,4,feb,204,1,-1,0,unknown,no
61,felton lockman,"381 murazik unions apt. 114\nstrosinton, fm 05678",admin.,married,unknown,no,4629,yes,no,cellular,27,jan,181,1,92,1,success,yes
45,serena hoeger,"219 rowland wall st.\nkuhlmanborough, wy 50617",blue-collar,divorced,primary,no,844,no,no,unknown,5,jun,1018,3,-1,0,unknown,yes
37,karolann hodkiewicz,"91644 fay sh0r3\np0rt andr3ch3st3r, wi 33823",technician,single,secondary,no,228,yes,no,cellular,20,aug,1740,2,-1,0,unknown,no
38,maxime reichel,"9049 schowalter circle apt. 465\nnew geovanyfurt, ak 75017",technician,single,secondary,no,50,no,no,cellular,29,aug,98,2,-1,0,unknown,no
34,amely boehm,"603 Geovany Club \nWest Chad, NJ 94040-2180",technician,married,tertiary,no,1539,yes,no,cellular,15,jun,441,1,56,1,other,yes
53,anastasia schinner,"4726 G0y3tt3 Cr0ssr0ad Av3.\nTyl3rb3rg, IA 99820-9241",blue-collar,married,secondary,no,2231,yes,no,cellular,14,jul,272,3,-1,0,unknown,no
48,esta hirthe,"135 0'C0nn3ll Tunn3l St.\n3ast Vidaland, NV 57883",admin.,married,secondary,no,3064,yes,no,telephone,15,jul,159,2,-1,0,unknown,no
57,roberta berge,"179 WIEGAND OVERPASS APT. 263\NSCHAMBERGERSHIRE, AK 40571",management,married,secondary,no,82,no,yes,telephone,4,feb,140,1,-1,0,unknown,no
33,shanon ziemann,"7191 Heller Tunnel Apt. 828\nNew Meagan, GU 57377-9796",self-employed,single,tertiary,no,2155,no,no,cellular,17,nov,295,1,-1,0,unknown,no
36,carolina kerluke,"530 CONNELLY FORKS SUITE 846\NPORT TARYNPORT, AP 82643-9610",retired,single,secondary,no,101,yes,yes,unknown,26,may,314,1,-1,0,unknown,no
54,frank dubuque,"698 ottilie green apt. 803\nnorth frederick, ap 13001-7559",technician,divorced,secondary,no,784,yes,yes,unknown,15,may,579,1,-1,0,unknown,no
41,adonis morar,"2190 H3rmini0 C0urs3 Av3.\nD3n3sikvill3, AS 18378",blue-collar,married,primary,no,-516,no,yes,telephone,8,jul,554,3,-1,0,unknown,no
63,miles klein,"571 Towne Harbors St.\nLubowitzhaven, KS 89039",retired,married,secondary,no,415,yes,no,cellular,7,oct,323,1,-1,0,unknown,no
48,shawn graham,"232 Shanna Corners \nBartonport, WY 25162-5823",management,married,tertiary,no,5887,no,no,cellular,13,aug,227,2,-1,0,unknown,no
48,emie heidenreich,"34376 C3drick Str33ts\nN3w In3s, PA 90228",services,married,secondary,no,1355,no,no,cellular,4,jul,134,2,-1,0,unknown,no
56,colt hirthe,"765H0llisP0rtSt.\n3astG30ffr3yvi3w,M322084-5612",admin.,married,secondary,no,16873,no,no,cellular,7,oct,223,1,-1,0,unknown,no
51,prudence rowe,"39792 Dereck Dam\nNorth Evie, RI 78890",blue-collar,divorced,secondary,no,203,yes,no,cellular,8,may,134,1,170,5,failure,no
31,curtis hegmann,"631 greyson via st.\nlake cleo, pw 74657-7573",services,married,secondary,no,338,yes,no,cellular,28,jan,155,1,-1,0,unknown,no
29,davin rowe,"012DENESIKRESTST.\NWESTCHLOE,TX08501-5669",technician,married,secondary,no,444,yes,no,cellular,21,jul,130,4,-1,0,unknown,no
41,kaia sanford,"241 lemke corners st.\nbeerport, co 97335-4645",management,married,secondary,no,0,no,yes,cellular,7,jul,630,3,-1,0,unknown,no
32,karson o'connell,"2539 hal fork ave.\nport garland, ms 62629-0612",technician,single,tertiary,no,360,no,no,cellular,19,nov,164,2,-1,0,unknown,no
37,misael franecki,"0170 mohr parks ave.\nconnellytown, ky 29076-5325",management,married,tertiary,no,0,no,no,cellular,16,jul,268,2,182,3,success,yes
42,aditya leannon,"331 Br3kk3 Av3nu3 St.\nG00dwinb3rg, CA 40770-2574",entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380,1,-1,0,unknown,no
31,shea kulas,"84331AracelyCrest\nStephanyport,VA32933",management,single,tertiary,no,6248,yes,no,unknown,9,may,154,2,-1,0,unknown,no
41,kory bernier,"8283 deshaun harbors suite 800\nnorth felton, al 81365",services,married,tertiary,no,412,yes,no,unknown,3,jun,154,5,-1,0,unknown,no
56,stanton schiller,"008 Danika Curve \nPort Lowell, AP 15148-7433",retired,married,secondary,no,344,yes,no,unknown,15,may,221,1,-1,0,unknown,no
54,hugh king,"3028 cooper path ave.\nmuellerberg, gu 30066",management,divorced,tertiary,no,3222,no,no,cellular,14,aug,67,2,-1,0,unknown,no
41,roma friesen,"985 Zelda Bridge Apt. 181\nSipesmouth, PR 14631",blue-collar,divorced,secondary,no,174,yes,no,cellular,14,may,367,2,297,1,other,no
40,eliseo senger,"109TrompHill\nDestinistad,TN11957",technician,single,secondary,no,591,no,yes,cellular,14,aug,87,6,-1,0,unknown,no
50,mathias buckridge,"605 upton curve \nport chelsea, ky 04285",blue-collar,divorced,primary,no,388,no,no,cellular,5,feb,701,1,-1,0,unknown,no
40,kole russel,"23563 williams0n plains\nlak3 kal3shir3, ny 52332",unemployed,married,secondary,no,219,yes,no,cellular,17,nov,204,2,196,1,failure,no
27,adelia skiles,"116 McCullough Shoal St.\nNew Bettyeburgh, FM 20387-1992",admin.,divorced,secondary,no,451,yes,no,cellular,16,jul,652,1,-1,0,unknown,yes
60,mitchell labadie,"741 aufderhar locks \nfrankport, ma 11573-6996",retired,married,primary,no,5,no,no,cellular,26,aug,63,2,-1,0,unknown,no
28,easter huels,"91407 Fran3cki P0rts\nCiarab3rg, AS 80119-4285",admin.,single,secondary,no,177,yes,yes,cellular,6,may,150,1,-1,0,unknown,no
52,verlie kuvalis,"9329LeuschkeHarborAve.\nSouthGiuseppe,MI01799",services,married,secondary,no,657,no,no,telephone,7,jul,398,2,460,2,failure,yes
37,geovanny lind,"3135 bryana square apt. 167\nnorth elliotttown, or 47297",management,married,tertiary,no,1315,no,no,cellular,30,jun,224,1,-1,0,unknown,yes
51,clement hilpert,"096 nathen port apt. 038\nwest ellsworth, ms 09509",blue-collar,married,primary,no,1466,yes,no,unknown,7,may,406,2,-1,0,unknown,no
41,gilbert schmidt,"961 Rosario Meadows St.\nSamirfurt, MI 51165",technician,single,secondary,no,879,no,yes,cellular,7,jul,60,4,-1,0,unknown,no
35,milton renner,"352 Lilian Gr0v3s St.\nN3w Lilian, AR 28696-4961",blue-collar,single,primary,no,293,yes,no,unknown,30,may,521,2,-1,0,unknown,no
38,gunnar o'connell,"803TOWNERUESUITE019\NLAKETANIAPORT,MS55586",admin.,married,secondary,no,424,yes,no,cellular,17,apr,279,1,-1,0,unknown,no
34,reece ward,"0175V3R0NICADRIV3SAV3.\N3LIANSID3,LA69333-3636",blue-collar,married,secondary,no,1831,yes,no,unknown,20,may,203,2,-1,0,unknown,no
39,micaela sporer,"0972 DAL3 GARD3NS SUIT3 813\NW3ST BRAYAN, AL 54027",blue-collar,married,primary,no,111,no,no,cellular,18,nov,201,2,-1,0,unknown,no
34,donna donnelly,"607 Jairo Square \nIsaiahtown, VA 12921-7069",blue-collar,married,primary,no,455,yes,no,unknown,20,jun,372,3,-1,0,unknown,no
27,herbert lubowitz,"341 Rashad Harbors Suite 824\nTarynville, WY 62569",services,single,secondary,no,-195,yes,no,cellular,18,may,391,1,-1,0,unknown,yes
32,kay koss,"889MaggioDivideSuite981\nKihnport,AL39388-5423",management,single,tertiary,no,3616,no,no,cellular,14,aug,165,2,-1,0,unknown,no
57,abigale cruickshank,"705KEITHPINEST.\NEASTNED,KY66812-0916",blue-collar,married,secondary,no,14093,no,no,cellular,11,aug,231,5,-1,0,unknown,no
41,genevieve krajcik,"519 kiara k3y st.\nmurphyb3rg, dc 48383-8762",unknown,single,tertiary,no,1567,no,no,cellular,1,jul,291,2,-1,0,unknown,no
41,vivian conn,"5777 Erica Islands Apt. 424\nMertzberg, VI 27399",admin.,married,tertiary,no,5426,yes,no,unknown,14,may,149,2,-1,0,unknown,no
30,polly dicki,"9804 Crona Lock Suite 555\nPorterstad, OH 74434-0051",admin.,single,tertiary,no,261,no,no,cellular,19,oct,233,1,137,20,failure,no
36,maximo douglas,"5835 Davis Fall Apt. 454\nNew Laurel, MN 50972-9205",blue-collar,divorced,secondary,no,2843,no,no,cellular,12,feb,473,1,182,1,success,no
31,akeem homenick,"764LewisDivideSt.\nWestKrystina,FM01837",unemployed,single,primary,no,406,no,no,cellular,4,feb,736,1,-1,0,unknown,yes
36,caroline gaylord,"771STEPHONCAUSEWAYST.\NWESTELEANORE,WY89823",blue-collar,married,secondary,no,0,yes,no,unknown,6,may,337,1,-1,0,unknown,no
38,alanna bayer,"717 Andres Manors \nLake Griffin, NH 22488-4768",management,single,tertiary,no,493,yes,no,cellular,11,may,553,1,367,7,failure,no
49,shad lang,"227 Smitham Trail St.\n0'Haram0uth, 0R 62678-0725",technician,married,secondary,no,5996,no,no,telephone,21,nov,345,2,-1,0,unknown,no
57,norberto kris,"9390 Will Fork Apt. 388\nMoenmouth, MA 14868",services,single,primary,no,3777,yes,no,telephone,13,may,65,2,-1,0,unknown,no
34,dagmar kautzer,"4497 reilly creek ave.\nvonruedenmouth, tn 44058",management,single,secondary,no,524,no,no,unknown,13,aug,9,1,-1,0,unknown,no
32,chesley bailey,"41399 Lu3ttg3n Missi0n\nP0rt Guadalup3, GA 83777-4095",management,single,tertiary,no,574,yes,no,cellular,14,apr,259,2,145,3,failure,no
37,frank sporer,"25847 EARLINE ROAD\NSOUTH VERN, SD 95395",blue-collar,married,secondary,no,427,yes,yes,unknown,9,jun,371,3,-1,0,unknown,no
33,ariane doyle,"645BuddyRestSuite199\nEastLottiestad,OH29830-5390",self-employed,married,tertiary,no,483,yes,no,cellular,3,feb,280,2,-1,0,unknown,no
56,serena daugherty,"09471KendrickExpressway\nNewErna,MN48615",unemployed,married,primary,no,3391,no,no,cellular,21,apr,243,1,-1,0,unknown,yes
27,renee kohler,"475 Morissette Isle \nSouth Theodoreside, SD 99499",housemaid,married,primary,no,0,yes,no,cellular,23,jul,435,3,-1,0,unknown,no
21,dane klein,"336CummerataSummitSt.\nTrantowmouth,OH30723",student,single,secondary,no,2488,no,no,cellular,30,jun,258,6,169,3,success,yes
58,daniella hahn,"6910 hilll lock ave.\nnew augustinestad, la 69531-5549",management,married,tertiary,no,1517,yes,no,telephone,29,jul,7,5,-1,0,unknown,no
32,arvilla greenfelder,"2106 H0lly H0ll0w Suit3 988\nP0rt Bra3d3n, MN 63874-9046",self-employed,married,secondary,no,217,yes,yes,cellular,15,jul,317,5,-1,0,unknown,no
33,ellen hoeger,"4532 BEULAH JUNCTIONS APT. 735\NEAST RAPHAELVILLE, MA 10842",blue-collar,single,secondary,no,22,no,no,cellular,30,jan,76,2,207,1,failure,no
25,samir grady,"952 Kessler Land St.\nNorth Cara, VI 86016-5754",student,single,secondary,no,331,no,no,telephone,26,aug,170,4,-1,0,unknown,yes
25,antoinette baumbach,"665MitchellSkywaySuite131\nSauershire,AK85845-3240",technician,single,secondary,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,yes
30,jennifer mayert,"909 mayra crescent suite 213\nsheridanview, ct 60734",services,married,secondary,no,1808,yes,no,cellular,18,may,83,2,-1,0,unknown,no
22,walter schneider,"337 Kihn Prairie Apt. 019\nPort Sidneyborough, KY 11737",admin.,single,secondary,no,4111,no,yes,cellular,19,aug,65,1,-1,0,unknown,no
39,reyes kuvalis,"2359 Darr0n Driv3s Apt. 272\nM0sciskib0r0ugh, AP 98117",blue-collar,married,primary,no,52,no,no,cellular,13,aug,69,1,-1,0,unknown,no
46,esmeralda schowalter,"9628 BEAHAN VISTA \NUPTONHAVEN, NJ 47470-4107",management,divorced,tertiary,no,25,no,no,unknown,17,jun,564,2,-1,0,unknown,no
31,palma hudson,"9954 Newell Wall Ave.\nHesselhaven, DE 53016",admin.,divorced,secondary,no,1890,yes,no,cellular,21,jul,588,1,-1,0,unknown,no
45,bernadine bergstrom,"3443 Kilback Valleys Apt. 141\nBednarmouth, DE 74708-3835",blue-collar,married,primary,no,419,no,no,cellular,18,aug,113,4,-1,0,unknown,no
32,samson rohan,"90983 Cummings Islands\nAmericaton, CA 69426-3653",technician,married,secondary,no,2693,yes,no,unknown,21,may,16,1,-1,0,unknown,no
36,bette durgan,"6834 Madison Isle Ave.\nWest Asamouth, MI 20617",blue-collar,married,secondary,no,-231,no,yes,cellular,15,jul,779,2,-1,0,unknown,no
51,elyssa nolan,"545JAV0NT3CR0SSR0ADST.\NN3WSINC3R3HAV3N,WY47651",management,single,tertiary,yes,-55,yes,no,cellular,11,may,281,2,266,6,failure,no
34,bennie gorczany,"834 madisen freeway apt. 453\ncoleville, pa 98953",self-employed,single,tertiary,no,462,no,no,cellular,21,aug,1877,3,-1,0,unknown,yes
24,enoch cronin,"296KAMRONNECKST.\NLENNIEBURY,NJ48470",unemployed,single,secondary,no,119,no,no,unknown,15,sep,51,1,-1,0,unknown,no
45,alessandro reilly,"97908 Ferry Center\nNew Tony, MO 70477",technician,single,secondary,no,586,no,yes,cellular,28,jul,32,3,-1,0,unknown,no
32,nathaniel lueilwitz,"1274BrycenGlens\nWestKatarina,CO31104-3663",blue-collar,single,secondary,no,228,no,no,telephone,5,feb,176,1,288,3,failure,no
77,demetrius goldner,"8816MarquardtLockAve.\nPortAngela,NJ38599",retired,divorced,tertiary,no,4659,no,no,cellular,14,apr,161,1,-1,0,unknown,yes
41,grover hoeger,"881 m0nahan cliff apt. 711\ns0uth anth0ny, 0k 74374-8091",blue-collar,married,primary,no,168,yes,no,cellular,18,nov,187,3,-1,0,unknown,no
37,chyna moen,"3086LEHNERJUNCTIONAVE.\NLAKEDAYNE,NE94541-7729",blue-collar,married,primary,no,0,yes,no,unknown,26,may,24,1,-1,0,unknown,no
43,freda harber,"888DarianSquareSt.\nStrackebury,VA42056",blue-collar,married,unknown,yes,-715,yes,no,unknown,30,may,67,3,-1,0,unknown,no
48,jaquan cruickshank,"6812 Gayl0rd Isl3 Av3.\nS0uth Macishir3, PW 39839",admin.,married,unknown,no,0,yes,no,cellular,8,may,85,1,168,2,failure,no
27,lavinia reinger,"6040ANT0NI0ISLANDSAV3.\NN3WMATILD3,KY56116-3568",technician,single,secondary,no,769,yes,no,unknown,9,may,317,2,-1,0,unknown,no
33,stanley howell,"2085TamiaPrairi3\nLu3ilwitzf0rt,TX43491",management,single,tertiary,no,0,no,no,cellular,28,aug,236,10,-1,0,unknown,no
29,amira zieme,"602JAIDENLOAFST.\NNORTHMUHAMMADFURT,AZ45534-7818",admin.,single,secondary,no,428,yes,yes,cellular,7,may,54,1,345,2,failure,no
34,ladarius nolan,"747 Bartell Streets St.\nJoyview, CA 72917-2409",management,single,tertiary,no,0,no,no,cellular,5,feb,71,1,-1,0,unknown,no
52,alysson weber,"131 Kendall Centers St.\nEast Margaretta, UT 66584",management,married,tertiary,no,-970,yes,no,cellular,4,feb,489,1,-1,0,unknown,yes
60,aliya skiles,"60975 IZABELLA LIGHTS\NGUSTAVEBOROUGH, IL 17235-8329",management,married,unknown,no,6313,no,no,unknown,19,jun,39,2,-1,0,unknown,no
32,parker kreiger,"14652WisokyLane\nKington,IA75089-8638",management,divorced,tertiary,no,948,no,no,cellular,12,aug,204,2,-1,0,unknown,no
32,vida oberbrunner,"62322 Gislas0n Villag3\nB3rgnaumbury, GU 02585",management,single,tertiary,no,0,yes,no,cellular,22,jul,455,2,-1,0,unknown,no
56,israel eichmann,"54512 lemke prairie\nbartolettiview, hi 34406",services,divorced,unknown,no,1877,yes,no,unknown,30,may,86,1,-1,0,unknown,no
31,alexys harris,"759ChelsieStravenue\nNewClementshire,ND74250",management,single,tertiary,no,874,yes,no,cellular,18,nov,190,2,-1,0,unknown,no
42,paxton batz,"3946RosenbaumLocksAve.\nPortFaeshire,IL88650",admin.,married,secondary,no,323,yes,yes,unknown,8,may,280,2,-1,0,unknown,no
35,edward corwin,"3080 emmerich river ave.\ndeionfort, mp 37628-6970",management,married,tertiary,no,106,no,yes,cellular,11,aug,588,2,-1,0,unknown,no
56,forrest pfeffer,"320 Rowe Streets Suite 407\nNorth Heavenview, AZ 23757",retired,married,primary,no,1906,no,yes,unknown,19,jun,45,9,-1,0,unknown,no
48,myriam flatley,"489 Sabina Manors Apt. 130\nPort Willa, NC 64935-2750",technician,married,secondary,no,1152,yes,no,cellular,21,jul,168,5,-1,0,unknown,no
46,gladys gusikowski,"9157 z03y bridg3 av3.\nkirlinshir3, fm 41569",admin.,married,secondary,no,179,yes,no,cellular,29,jan,194,4,436,1,other,no
37,colin greenholt,"383 henriette springs st.\neast curtischester, ar 22525",technician,single,unknown,no,391,yes,no,unknown,8,may,103,3,-1,0,unknown,no
41,zachery gutmann,"358 Lester Crescent St.\nMarionview, MO 35977",entrepreneur,married,unknown,no,89,yes,no,unknown,6,may,333,2,-1,0,unknown,no
36,theodore schaefer,"734 L3dn3r Bypass \n3ast Hild3gard, WI 96902-0457",management,single,tertiary,no,442,yes,yes,cellular,29,jul,102,3,-1,0,unknown,no
45,gregg hodkiewicz,"49017ElissaMeadow\nPollichfurt,OK95507-6923",unemployed,divorced,primary,yes,-249,yes,yes,unknown,1,jul,92,1,-1,0,unknown,no
55,brendon schumm,"510 Herta Glens \nNicolasland, MP 68497-2949",entrepreneur,married,secondary,no,8104,no,no,cellular,6,feb,213,2,-1,0,unknown,no
39,sofia kihn,"561 FISHER LANDING SUITE 956\NBORISBOROUGH, ND 67720-0635",technician,married,secondary,no,501,no,no,unknown,26,may,289,1,-1,0,unknown,no
35,gaston shanahan,"6676 tess terrace \nelissaville, wi 37202",technician,divorced,secondary,no,308,no,no,cellular,22,aug,77,2,-1,0,unknown,no
55,junior brekke,"1059 anahi divide ave.\neast timothystad, id 41715",admin.,married,secondary,no,602,no,no,cellular,1,jun,324,3,90,2,success,yes
55,abagail glover,"846 Rayn0r Gr33ns \nJ3rr3llbury, A3 14092-6324",technician,married,secondary,no,273,yes,no,cellular,29,jan,84,3,183,3,failure,no
27,enos bins,"481 considine orchard st.\nbriceville, aa 54168-1493",self-employed,single,secondary,no,50,no,no,cellular,29,jan,168,1,-1,0,unknown,no
34,nathanial lebsack,"9912 ubaldo burg apt. 525\nport roslyn, az 68780",technician,married,secondary,no,1641,yes,no,cellular,17,apr,380,1,-1,0,unknown,no
34,annetta reichert,"1214DECKOWBURGAPT.131\NSTEPHANYFORT,MN50352",blue-collar,married,tertiary,no,20,no,no,unknown,4,oct,10,1,-1,0,unknown,no
25,ernest zemlak,"167 Marquardt Squares St.\nPort Shanonside, NE 45683-7716",admin.,single,secondary,no,4590,yes,no,unknown,28,may,199,2,-1,0,unknown,no
41,kristy swaniawski,"28668 maude lights\nsouth aniyah, nh 57773",admin.,single,secondary,no,-256,no,yes,unknown,9,may,35,3,-1,0,unknown,no
43,stephon carter,"5056 3rn3st Spring Av3.\nHilari0f0rt, IL 92015-4204",services,married,secondary,no,978,yes,yes,unknown,26,may,82,2,-1,0,unknown,no
28,bobby dibbert,"809PadbergStationSuite328\nWestLoma,KS46670",management,single,tertiary,no,80,no,no,cellular,20,oct,676,2,146,2,failure,yes
31,larue sipes,"33728STANFORDKEYS\NPORTBRICE,NY26629-9114",admin.,single,secondary,no,2104,yes,no,unknown,3,jun,455,1,-1,0,unknown,no
78,madelyn terry,"3673 mohr greens apt. 769\nrosalynhaven, or 27625-2101",housemaid,married,secondary,no,499,no,no,telephone,16,mar,80,4,-1,0,unknown,no
